# Asset Database
# guid|type|sourcePath|ext|contentHash|lastWriteTime|valid|descriptorModifiedTime|lastCompiledTime|needsRecompile
# Version: 1.0

d494406797d3c023|1|\Resources\Sources\Meshes\E007_adware_v001.fbx|.fbx||1768354627|1|1764336727|134088103279859298|0
de9b106c33edc005|0|\Resources\Sources\Textures\Bounds2.png|.png||1768354628|1|0|0|0
4c94406797d3c025|0|\Resources\Sources\Textures\2k_mercury.jpg|.jpg||1768354628|1|0|0|0
4494406797d3c01d|1|\Resources\Sources\Meshes\E004_botnet_v001.fbx|.fbx||1768354627|1|1764336733|134088103339400610|0
ec43906a7d610003|4|\Resources\Sources\Shaders\skybox.frag|.frag||1768354628|1|0|0|0
b494406797d3c01f|1|\Resources\Sources\Meshes\E005_loveletter_v001.fbx|.fbx||1768354627|1|1764530391|134090039918914231|0
669b106c33edc001|4|\Resources\Sources\Shaders\ui.frag|.frag||1768354628|1|0|0|0
fc94406797d3c021|1|\Resources\Sources\Meshes\E007_adware_popup_v001.fbx|.fbx||1768354627|1|1764336749|134088103492818250|0
5443906a7d610007|0|\Resources\Sources\Textures\back.jpg|.jpg||1768354628|1|0|0|0
f494406797d3c029|0|\Resources\Sources\Textures\rabbit_kenny.png|.png||1768354628|1|0|0|0
a3d1886daa5ec003|0|\Resources\Sources\Textures\InstallButton.png|.png||1768354628|1|0|0|0
9c94406797d3c02b|0|\Resources\Sources\Textures\squirrel_kenny.png|.png||1768354628|1|0|0|0
5443906a7d610015|0|\Resources\Sources\Textures\wood_normal.jpg|.jpg||1768354628|1|0|0|0
fbd1886daa5ec005|0|\Resources\Sources\Textures\ShutdownButton.png|.png||1768354628|1|0|0|0
4494406797d3c02d|0|\Resources\Sources\Textures\stone_color.jpg|.jpg||1768354628|1|0|0|0
dc94406797d3c02f|0|\Resources\Sources\Textures\stone_normal.jpg|.jpg||1768354628|1|0|0|0
ce9b106c33edc00b|0|\Resources\Sources\Textures\Skybox_Engine_v1_003.png|.png||1768354628|1|0|0|0
469b106c33edc003|4|\Resources\Sources\Shaders\ui.vert|.vert||1768354628|1|0|0|0
5c94406797d3c033|3|\Resources\Sources\Audio\PlayerShoot.wav|.wav||1768354626|1|0|0|0
f494406797d3c035|2|\Resources\Sources\Material\mecury.mat|.mat||1768354627|1|0|0|0
bc43906a7d61000b|0|\Resources\Sources\Textures\front.jpg|.jpg||1768354628|1|0|0|0
2494406797d3c037|2|\Resources\Sources\Material\test.mat|.mat||1768354627|1|0|0|0
2287c0693c268001|7|\Resources\Sources\Scenes\GameScene.json|.json||0|0|0|0|0
3dac386b3ecc8009|1|\Resources\Sources\Meshes\A9004_cruiser_v001.fbx|.fbx||1768354627|1|0|0|0
ff8cb069a1b7c001|1|\Resources\Sources\Meshes\level_design_v003.fbx|.fbx||1768354627|1|0|0|0
b78cb069a1b7c003|2|\Resources\Sources\Material\testma2.mat|.mat||1768354627|1|0|0|0
dac386b3ecc800b|1|\Resources\Sources\Meshes\A9005_gunship_v001.fbx|.fbx||1768354627|1|1764077946|134085515464193054|0
4abac869db708001|7|\Resources\Sources\Scenes\GameLevel.json|.json||0|0|0|0|0
abac869db708003|0|\Resources\Sources\Textures\GAM3_VFX_PlayerHeal.png|.png||1768354628|1|0|0|0
9c43906a7d610005|4|\Resources\Sources\Shaders\skybox.vert|.vert||1768354628|1|0|0|0
e443906a7d61000d|0|\Resources\Sources\Textures\left.jpg|.jpg||1768354628|1|0|0|0
469b106c33edc009|0|\Resources\Sources\Textures\Skybox_Engine_v1_002.png|.png||1768354628|1|0|0|0
c443906a7d61000f|0|\Resources\Sources\Textures\right.jpg|.jpg||1768354628|1|0|0|0
1dac386b3ecc8001|7|\Resources\Sources\Scenes\AlliesTesting.json|.json||0|0|0|0|0
f62b006dca0ec001|3|\Resources\Sources\Audio\Botnet_Ambient.wav|.wav||1768354626|1|0|0|0
d5ac386b3ecc8003|4|\Resources\Sources\Shaders\hdr.frag|.frag||1768354628|1|0|0|0
262b006dca0ec00b|3|\Resources\Sources\Audio\Flotilla_Gunship_Ambient.wav|.wav||1768354626|1|0|0|0
5dac386b3ecc8005|4|\Resources\Sources\Shaders\hdr.vert|.vert||1768354628|1|0|0|0
85ac386b3ecc8007|1|\Resources\Sources\Meshes\A9003_dreadnought_v001.fbx|.fbx||1768354627|1|0|0|0
6dac386b3ecc800d|2|\Resources\Sources\Material\TestUVAnimationMat.mat|.mat||1768354627|1|0|0|0
e6d1606c3306c001|0|\Resources\Sources\Textures\Firewall_active.png|.png||1768354628|1|0|0|0
66d1606c3306c003|0|\Resources\Sources\Textures\Firewall_Inactive.png|.png||1768354628|1|0|0|0
36d1606c3306c005|3|\Resources\Sources\Audio\COMBAT_Vestigal_Strings+Perc-Action_BGM_140bpm.wav|.wav||1768354626|1|0|0|0
69b106c33edc007|0|\Resources\Sources\Textures\Skybox_Engine_v1_001.png|.png||1768354628|1|0|0|0
9e9b106c33edc00d|0|\Resources\Sources\Textures\Skybox_Engine_v1_004.png|.png||1768354628|1|0|0|0
969b106c3445764b|2|\Resources\Sources\Material\Firewall_Inactive.mat|.mat||1768354627|1|0|0|0
1e9b106c34f6aa1b|2|\Resources\Sources\Material\Firewall_Active.mat|.mat||1768354627|1|0|0|0
b62b006dca0ec011|3|\Resources\Sources\Audio\Loveletter_Warping_In.wav|.wav||1768354626|1|0|0|0
4ca0806c44008001|0|\Resources\Sources\Textures\Firewall-active-logo.png|.png||1768354628|1|0|0|0
54a0806c44008003|0|\Resources\Sources\Textures\Firewall-active-void.png|.png||1768354628|1|0|0|0
14a0806c444bb65b|2|\Resources\Sources\Material\Firewall_Void.mat|.mat||1768354627|1|0|0|0
8c23786d27d54001|1|\Resources\Sources\Meshes\PlayerModel_v002.fbx|.fbx||1768354627|1|1765107266|134095808665198678|0
8423786d27d54003|0|\Resources\Sources\Textures\level_Design_Grid_Texture.png|.png||1768354628|1|0|0|0
b423786d27d54005|2|\Resources\Sources\Material\Core.mat|.mat||1768354627|1|0|0|0
4423786d27d54007|2|\Resources\Sources\Material\Gunship_Allies.mat|.mat||1768354627|1|0|0|0
4e2b006dca0ec007|3|\Resources\Sources\Audio\Core_Ambient.wav|.wav||1768354626|1|0|0|0
cc23786d27d54009|2|\Resources\Sources\Material\LevelDesign_GroundBelow.mat|.mat||1768354627|1|0|0|0
ac23786d27d5400b|2|\Resources\Sources\Material\LevelDesign_GroundTexture.mat|.mat||1768354627|1|0|0|0
5099586d2bbb4001|4|\Resources\Sources\Shaders\bloom_downsample.frag|.frag||1768354628|1|0|0|0
e099586d2bbb4003|4|\Resources\Sources\Shaders\bloom_upsample.frag|.frag||1768354628|1|0|0|0
3028706d86e50369|2|\Resources\Sources\Material\PlayerMaterial.mat|.mat||1768354627|1|0|0|0
af71586d8dbc8001|7|\Resources\Sources\Scenes\NewDefault.json|.json||0|0|0|0|0
b771586d8dbc8003|1|\Resources\Sources\Meshes\Temp_PlayerPrimaryBullet.fbx|.fbx||1768354627|1|1764495251|134089688516778229|0
bd4306d8f24422d|2|\Resources\Sources\Material\PlayerBackWings.mat|.mat||1768354627|1|0|0|0
63d1886daa5ec001|7|\Resources\Sources\Scenes\MainMenuUI.json|.json||0|0|0|0|0
d3d1886daa5ec007|0|\Resources\Sources\Textures\WindowsBG.png|.png||1768354628|1|0|0|0
73d1886daa5ec009|2|\Resources\Sources\Material\InstallButton.mat|.mat||1768354627|1|0|0|0
6bd1886daa5ec00b|2|\Resources\Sources\Material\ShutdownButton.mat|.mat||1768354627|1|0|0|0
e3d1886daa5ec00d|2|\Resources\Sources\Material\WindowsBG.mat|.mat||1768354627|1|0|0|0
8e2b006dca0ec003|3|\Resources\Sources\Audio\Botnet_Explosion.wav|.wav||1768354626|1|0|0|0
9e2b006dca0ec005|3|\Resources\Sources\Audio\Brute_Force_Attack_Siren.wav|.wav||1768354626|1|0|0|0
be2b006dca0ec009|3|\Resources\Sources\Audio\Core_Health_Damage_Alert.wav|.wav||1768354626|1|0|0|0
2e2b006dca0ec00d|3|\Resources\Sources\Audio\Loveletter_Ambient.wav|.wav||1768354626|1|0|0|0
1e2b006dca0ec00f|3|\Resources\Sources\Audio\Loveletter_Logic_Bomb_Explosion.wav|.wav||1768354626|1|0|0|0
62b006dca0ec013|3|\Resources\Sources\Audio\Loveletter_Warp_Warning.wav|.wav||1768354626|1|0|0|0
162b006dca0ec015|3|\Resources\Sources\Audio\Player_Ambience.wav|.wav||1768354626|1|0|0|0
3504e06de533c005|2|\Resources\Sources\Material\PrimaryBullet.mat|.mat||1768354627|1|0|0|0
662b006dca0ec017|3|\Resources\Sources\Audio\Player_Hitmarker.wav|.wav||1768354626|1|0|0|0
b62b006dca0ec019|3|\Resources\Sources\Audio\Player_Kill.wav|.wav||1768354626|1|0|0|0
862b006dca0ec01b|3|\Resources\Sources\Audio\Player_Move.wav|.wav||1768354627|1|0|0|0
962b006dca0ec01d|3|\Resources\Sources\Audio\Player_Primary_Alt_Bullet_Fly.wav|.wav||1768354627|1|0|0|0
3e2b006dca0ec01f|3|\Resources\Sources\Audio\Player_primary_alt_fire.wav|.wav||1768354627|1|0|0|0
b62b006dca0ec021|3|\Resources\Sources\Audio\Player_Primary_Fire.wav|.wav||1768354627|1|0|0|0
4e2b006dca0ec023|3|\Resources\Sources\Audio\Player_Secondary_Fire.wav|.wav||1768354627|1|0|0|0
662b006dca0ec025|3|\Resources\Sources\Audio\Player_Secondary_Fire_Impact_Explosion.wav|.wav||1768354627|1|0|0|0
962b006dca0ec027|3|\Resources\Sources\Audio\Player_Secondary_Reload.wav|.wav||1768354627|1|0|0|0
911fa06dd4504001|3|\Resources\Sources\Audio\office_ambience.wav|.wav||1768354626|1|0|0|0
5a7a686de48b8001|7|\Resources\Sources\Scenes\MainGameScene.json|.json||0|0|0|0|0
4d04e06de533c001|7|\Resources\Sources\Scenes\mainscenebackupduntouch.json|.json||0|0|0|0|0
1f0e887038134005|0|\Resources\Sources\Textures\DefenceFailed.png|.png||1768354628|1|0|0|0
7504e06de533c003|1|\Resources\Sources\Meshes\Temp_PrimarySecondaryBullet.fbx|.fbx||1768354627|1|0|0|0
1d04e06de533c007|2|\Resources\Sources\Material\SecondaryBullet.mat|.mat||1768354627|1|0|0|0
2f0e887038134001|7|\Resources\Sources\Scenes\M3_Submission.json|.json||0|0|0|0|0
770e887038134003|7|\Resources\Sources\Scenes\TimerBarRef.json|.json||0|0|0|0|0
bf0e887038134007|0|\Resources\Sources\Textures\DefenceSuccess.png|.png||1768354628|1|0|0|0
70e887038134009|2|\Resources\Sources\Material\DefenceFailed.mat|.mat||1768354627|1|0|0|0
d70e88703813400b|2|\Resources\Sources\Material\DefenceSuccess.mat|.mat||1768354627|1|0|0|0
770e88703813400d|2|\Resources\Sources\Material\TimerBarMat.mat|.mat||1768354627|1|0|0|0
23e2307c9b72c001|7|\Resources\Sources\Scenes\testing_amanda.json|.json||0|0|0|0|0
93e2307c9b72c003|7|\Resources\Sources\Scenes\TestNewEditor.json|.json||0|0|0|0|0
